iter	RMSE
0	13.95125119
1	13.72224186
2	13.47868512
3	13.23977914
4	13.02120629
5	12.82299029
6	12.62449967
7	12.44955707
8	12.23570069
9	12.03261389
10	11.84880949
11	11.68399065
12	11.50987964
13	11.38324761
14	11.19335772
15	11.03248049
16	10.88915131
17	10.7529589
18	10.60573161
19	10.45238218
20	10.335822
21	10.20233528
22	10.06920391
23	9.93590349
24	9.788899568
25	9.649236848
26	9.52970037
27	9.424200537
28	9.300665226
29	9.192563371
30	9.05721938
31	8.939560144
32	8.841619497
33	8.73448735
34	8.627053799
35	8.512590459
36	8.390820618
37	8.301774082
38	8.203848366
39	8.135727181
40	8.054095243
41	7.966386236
42	7.878145471
43	7.793483047
44	7.715082185
45	7.639200226
46	7.571293927
47	7.479551413
48	7.416069049
49	7.337943246
50	7.274418447
51	7.202953088
52	7.133735542
53	7.076365565
54	7.002253781
55	6.942473021
56	6.878501991
57	6.820361158
58	6.750869597
59	6.693546118
60	6.645992578
61	6.591850447
62	6.542372774
63	6.508304628
64	6.462764849
65	6.412608166
66	6.357770671
67	6.306012433
68	6.273787169
69	6.225757542
70	6.176077277
71	6.130491883
72	6.087920113
73	6.047522659
74	6.012248496
75	5.970180114
76	5.933727915
77	5.901497325
78	5.869082764
79	5.837072823
80	5.794743595
81	5.752863489
82	5.716281552
83	5.685323632
84	5.648408897
85	5.617259367
86	5.583448691
87	5.555076217
88	5.521520891
89	5.489900114
90	5.460660228
91	5.438454646
92	5.411934078
93	5.388985639
94	5.360991988
95	5.337809872
96	5.311569278
97	5.290581536
98	5.266663874
99	5.245219646
100	5.224161269
101	5.19943858
102	5.171036512
103	5.145718085
104	5.126110026
105	5.10276859
106	5.086228497
107	5.066860942
108	5.046639851
109	5.026943687
110	5.006544286
111	4.988683556
112	4.970035743
113	4.95087103
114	4.935659356
115	4.917720588
116	4.89927788
117	4.884303897
118	4.867043816
119	4.848712529
120	4.828078295
121	4.814170159
122	4.796420563
123	4.78053761
124	4.771091277
125	4.754718044
126	4.740492788
127	4.728584715
128	4.710358667
129	4.694656822
130	4.680870691
131	4.670154335
132	4.656563126
133	4.643156606
134	4.630204746
135	4.61704564
136	4.60368159
137	4.589893101
138	4.573595588
139	4.560836683
140	4.547778403
141	4.533361906
142	4.520150808
143	4.502434891
144	4.490759538
145	4.481145908
146	4.467348903
147	4.455326815
148	4.443301701
149	4.431409027
150	4.422239396
151	4.409101688
152	4.395973992
153	4.381334449
154	4.374842258
155	4.362632785
156	4.3486207
157	4.338548522
158	4.326772852
159	4.315748621
160	4.30503223
161	4.297551234
162	4.288674283
163	4.283100018
164	4.27329314
165	4.266891011
166	4.254550786
167	4.246055857
168	4.236611736
169	4.223875093
170	4.215038083
171	4.203228708
172	4.196059301
173	4.18419281
174	4.179473253
175	4.169946422
176	4.159041747
177	4.154614477
178	4.151791079
179	4.145205728
180	4.136778599
181	4.132292228
182	4.127902005
183	4.12003057
184	4.113315544
185	4.108487648
186	4.098968882
187	4.094755739
188	4.090481601
189	4.083093086
190	4.075697398
191	4.065992124
192	4.059259698
193	4.052601554
194	4.046920879
195	4.03708667
196	4.028362535
197	4.022594424
198	4.011014364
199	4.004303378
200	3.9965548
201	3.989088878
202	3.980798415
203	3.974513498
204	3.969901412
205	3.966018737
206	3.962412225
207	3.952227923
208	3.943360163
209	3.934495895
210	3.928283702
211	3.925758103
212	3.917918113
213	3.911646584
214	3.903318822
215	3.89751899
216	3.890380404
217	3.882564245
218	3.873144543
219	3.866954536
220	3.864627478
221	3.857464126
222	3.84632366
223	3.833283743
224	3.824665256
225	3.81490252
226	3.811351657
227	3.805232191
228	3.80240451
229	3.794046509
230	3.791734686
231	3.785061663
232	3.780400218
233	3.774028688
234	3.765178017
235	3.757363396
236	3.75233403
237	3.749210774
238	3.746939755
239	3.741450415
240	3.737102364
241	3.731536086
242	3.729601822
243	3.717465528
244	3.713330528
245	3.704974287
246	3.701216197
247	3.697467612
248	3.690971658
249	3.688346984
250	3.682526559
251	3.678543471
252	3.676063242
253	3.673536503
254	3.670133775
255	3.668839315
256	3.667373236
257	3.664957039
258	3.66252341
259	3.660545019
260	3.649885449
261	3.647094425
262	3.643877105
263	3.641263051
264	3.637343016
265	3.628188878
266	3.619133089
267	3.61617676
268	3.612282932
269	3.609296381
270	3.602183261
271	3.599059199
272	3.594207598
273	3.591248248
274	3.588670365
275	3.585353262
276	3.584180187
277	3.574972764
278	3.573960759
279	3.569864896
280	3.567161306
281	3.557974419
282	3.550387159
283	3.549754682
284	3.542498759
285	3.540885373
286	3.535086726
287	3.532699447
288	3.530936193
289	3.525411436
290	3.523464049
291	3.520986477
292	3.515197255
293	3.507386657
294	3.503144985
295	3.501979128
296	3.494777345
297	3.493750885
298	3.493173364
299	3.48912451
300	3.476897588
301	3.475844349
302	3.470015758
303	3.46653495
304	3.464292193
305	3.458330371
306	3.452995976
307	3.444151111
308	3.442429591
309	3.43955755
310	3.432296839
311	3.425098937
312	3.421280668
313	3.417602299
314	3.414031879
315	3.412488343
316	3.411099056
317	3.408237273
318	3.401048537
319	3.399357569
320	3.39737172
321	3.391283322
322	3.390400302
323	3.384440947
324	3.382405584
325	3.381108435
326	3.37898246
327	3.372756442
328	3.371770474
329	3.366972946
330	3.366135372
331	3.352060913
332	3.349936817
333	3.343159422
334	3.340516725
335	3.339694583
336	3.337453421
337	3.326638963
338	3.324980274
339	3.322365601
340	3.317420445
341	3.315330718
342	3.304681253
343	3.29984365
344	3.296765839
345	3.294812274
346	3.291750765
347	3.289512349
348	3.288711652
349	3.288006055
350	3.283210061
351	3.279281388
352	3.278579915
353	3.270160088
354	3.263572045
355	3.262093552
356	3.261021019
357	3.258126713
358	3.252080146
359	3.250768376
360	3.240760482
361	3.236533516
362	3.230436814
363	3.22558884
364	3.220813493
365	3.214571471
366	3.213041096
367	3.210390559
368	3.209195068
369	3.203182598
370	3.197968841
371	3.197330292
372	3.190760009
373	3.188134256
374	3.18689986
375	3.175087618
376	3.171790612
377	3.170362337
378	3.16089964
379	3.15396897
380	3.148544441
381	3.148059897
382	3.138399508
383	3.137380325
384	3.130472923
385	3.124623127
386	3.116242757
387	3.115216252
388	3.106305427
389	3.105178075
390	3.103989758
391	3.098210852
392	3.089538528
393	3.083444183
394	3.075385449
395	3.070402324
396	3.06940358
397	3.068353937
398	3.067722677
399	3.06742407
400	3.055437323
401	3.053921211
402	3.051386263
403	3.049977429
404	3.047772832
405	3.046138671
406	3.036614254
407	3.035936028
408	3.028025126
409	3.025109502
410	3.019852922
411	3.018951825
412	3.01198873
413	3.010579315
414	3.00348325
415	3.000925402
416	2.998565592
417	2.9964616
418	2.995042184
419	2.989950009
420	2.988854259
421	2.986855945
422	2.985157215
423	2.983771432
424	2.978756711
425	2.976763438
426	2.968596162
427	2.96399487
428	2.958615569
429	2.953605155
430	2.948786137
431	2.945775146
432	2.9422575
433	2.93477945
434	2.928497844
435	2.924831049
436	2.919965924
437	2.914905902
438	2.909507305
439	2.905224914
440	2.901566032
441	2.898882227
442	2.897566517
443	2.889413543
444	2.878740447
445	2.878191324
446	2.876999659
447	2.87077411
448	2.865375562
449	2.863886324
450	2.862230507
451	2.861347245
452	2.852561647
453	2.850014886
454	2.842368671
455	2.838358623
456	2.829578517
457	2.825479447
458	2.817856875
459	2.813265532
460	2.809571965
461	2.80037487
462	2.795455294
463	2.793800176
464	2.786899664
465	2.779486174
466	2.77835985
467	2.775336558
468	2.771163232
469	2.769592026
470	2.761084556
471	2.758765936
472	2.75355836
473	2.7512511
474	2.750429074
475	2.749927657
476	2.741071391
477	2.735520481
478	2.735024689
479	2.730065168
480	2.729573778
481	2.724080546
482	2.715930041
483	2.714707611
484	2.711002421
485	2.706774975
486	2.701341186
487	2.695877774
488	2.693274165
489	2.692172245
490	2.689562931
491	2.682531896
492	2.681698659
493	2.674175963
494	2.668693712
495	2.667765767
496	2.663215602
497	2.662335748
498	2.660603835
499	2.660164481
500	2.654477567
501	2.651135119
502	2.649603958
503	2.649159896
504	2.643654856
505	2.636603944
506	2.634484756
507	2.631937299
508	2.626119296
509	2.622061306
510	2.617134213
511	2.613660191
512	2.608837177
513	2.606609862
514	2.600261478
515	2.597206373
516	2.59216033
517	2.59139381
518	2.587293555
519	2.583550358
520	2.582820558
521	2.579266311
522	2.578309979
523	2.57254156
524	2.569925152
525	2.567689568
526	2.561305642
527	2.55521094
528	2.554538425
529	2.547901818
530	2.546412625
531	2.543778882
532	2.538030779
533	2.537609919
534	2.537186523
535	2.532708236
536	2.531909103
537	2.529539498
538	2.528478327
539	2.519907674
540	2.517727696
541	2.512741671
542	2.51074852
543	2.506122831
544	2.501000458
545	2.496572554
546	2.492237089
547	2.48796838
548	2.480950633
549	2.47743556
550	2.47503465
551	2.474493839
552	2.473222977
553	2.467375518
554	2.463613998
555	2.462334617
556	2.4556267
557	2.449781911
558	2.446241157
559	2.444938792
560	2.443991777
561	2.438990341
562	2.435515982
563	2.430307295
564	2.425620797
565	2.422088673
566	2.417958467
567	2.412647921
568	2.405419245
569	2.403782525
570	2.403326818
571	2.402780716
572	2.402406046
573	2.396527326
574	2.393939121
575	2.387740057
576	2.384119867
577	2.37980824
578	2.375107771
579	2.370722224
580	2.36963264
581	2.365238971
582	2.361196978
583	2.359554113
584	2.35701694
585	2.354310872
586	2.353565697
587	2.34785373
588	2.346544316
589	2.341487875
590	2.339001667
591	2.335400813
592	2.332925999
593	2.329181644
594	2.328224929
595	2.324058676
596	2.319575981
597	2.315101894
598	2.312224224
599	2.309589071
600	2.304460307
601	2.299242696
602	2.29487863
603	2.291780194
604	2.28683167
605	2.282722779
606	2.280765987
607	2.277681953
608	2.27532022
609	2.27138026
610	2.270225171
611	2.267682402
612	2.265877275
613	2.264360265
614	2.262459203
615	2.259455158
616	2.255903548
617	2.254059575
618	2.253906852
619	2.249960027
620	2.247178977
621	2.245978782
622	2.242973703
623	2.239803609
624	2.233975468
625	2.233280422
626	2.230537747
627	2.228124836
628	2.225156775
629	2.220186216
630	2.218734822
631	2.21579458
632	2.213586182
633	2.211143231
634	2.210079125
635	2.206859386
636	2.201277362
637	2.198179214
638	2.195545828
639	2.194913945
640	2.190051814
641	2.189184332
642	2.188300523
643	2.183351926
644	2.182731248
645	2.177834449
646	2.176981785
647	2.175451638
648	2.172887561
649	2.172051055
650	2.171595496
651	2.166320382
652	2.164003259
653	2.159287251
654	2.158194246
655	2.156443884
656	2.153558862
657	2.153159995
658	2.14885959
659	2.14621671
660	2.144150453
661	2.13842553
662	2.136713913
663	2.133962023
664	2.130197827
665	2.12542907
666	2.122691875
667	2.119776544
668	2.116194503
669	2.114388142
670	2.110843999
671	2.107561158
672	2.102066827
673	2.098943456
674	2.095021589
675	2.089842515
676	2.089273584
677	2.088655659
678	2.084753252
679	2.083958231
680	2.080347745
681	2.080225661
682	2.07989357
683	2.076710025
684	2.076020661
685	2.073830962
686	2.071237377
687	2.070695952
688	2.069918016
689	2.065863728
690	2.062760636
691	2.06167952
692	2.058717561
693	2.057457267
694	2.05419192
695	2.05131577
696	2.046717966
697	2.042801354
698	2.041053813
699	2.035000667
700	2.034357729
701	2.031146988
702	2.029895244
703	2.028096943
704	2.026180588
705	2.022733944
706	2.01889683
707	2.015344417
708	2.0149349
709	2.01049762
710	2.008524253
711	2.005572345
712	2.003975126
713	2.003492087
714	1.999665516
715	1.995952121
716	1.992736989
717	1.989565692
718	1.98773517
719	1.987170859
720	1.979378031
721	1.976491715
722	1.976027486
723	1.975466743
724	1.972850863
725	1.970629463
726	1.969233486
727	1.964979678
728	1.96191833
729	1.96124419
730	1.96069475
731	1.958072881
732	1.955289152
733	1.951880025
734	1.950715924
735	1.947932936
736	1.947007454
737	1.944134762
738	1.943651118
739	1.941050141
740	1.93810816
741	1.937150553
742	1.933751566
743	1.930517158
744	1.927683402
745	1.925887285
746	1.925371927
747	1.925075443
748	1.922537177
749	1.920384753
750	1.917946218
751	1.917115814
752	1.916253651
753	1.914678719
754	1.911654897
755	1.911394245
756	1.909616516
757	1.906548126
758	1.904004529
759	1.902661197
760	1.900092096
761	1.898315175
762	1.895621206
763	1.891611847
764	1.889041947
765	1.886131252
766	1.885490195
767	1.882459009
768	1.877580066
769	1.87693062
770	1.876416616
771	1.875521526
772	1.871975705
773	1.868766974
774	1.867041915
775	1.863572605
776	1.860697493
777	1.858770729
778	1.855491491
779	1.854882907
780	1.853241068
781	1.852680878
782	1.851031895
783	1.848328239
784	1.843825846
785	1.841003855
786	1.838271778
787	1.837985192
788	1.837896998
