iter	Passed	Remaining
0	151	151708
1	153	76753
2	156	51876
3	163	40728
4	165	32966
5	167	27770
6	170	24228
7	177	22039
8	179	19811
9	181	17976
10	183	16536
11	185	15303
12	187	14218
13	193	13607
14	194	12782
15	195	12053
16	197	11408
17	198	10853
18	200	10339
19	201	9882
20	205	9557
21	207	9219
22	209	8893
23	212	8636
24	213	8335
25	218	8202
26	220	7944
27	221	7699
28	223	7492
29	225	7303
30	227	7109
31	228	6920
32	233	6843
33	234	6674
34	236	6512
35	237	6361
36	238	6219
37	240	6087
38	241	5958
39	243	5836
40	248	5801
41	249	5689
42	250	5579
43	252	5475
44	253	5377
45	254	5281
46	255	5190
47	257	5103
48	262	5090
49	263	5009
50	265	4936
51	266	4859
52	267	4786
53	269	4716
54	270	4648
55	271	4582
56	276	4573
57	277	4510
58	279	4458
59	280	4400
60	282	4343
61	283	4288
62	284	4236
63	286	4185
64	290	4185
65	293	4148
66	295	4113
67	297	4077
68	299	4039
69	300	3994
70	304	3987
71	306	3946
72	307	3908
73	309	3867
74	310	3827
75	311	3788
76	312	3750
77	314	3713
78	315	3676
79	319	3672
80	321	3644
81	322	3610
82	323	3570
83	324	3538
84	325	3508
85	327	3477
86	328	3447
87	329	3417
88	334	3418
89	335	3391
90	336	3363
91	338	3336
92	339	3309
93	340	3282
94	341	3257
95	343	3232
96	344	3207
97	349	3212
98	350	3189
99	351	3165
100	353	3142
101	354	3119
102	355	3097
103	357	3076
104	358	3054
105	359	3033
106	364	3044
107	387	3203
108	389	3184
109	397	3213
110	402	3227
111	404	3210
112	409	3217
113	411	3201
114	414	3191
115	416	3176
116	434	3282
117	436	3265
118	441	3272
119	444	3256
120	445	3239
121	447	3219
122	449	3204
123	451	3189
124	456	3196
125	458	3182
126	460	3166
127	462	3152
128	464	3137
129	466	3122
130	471	3129
131	473	3115
132	475	3101
133	477	3088
134	479	3075
135	481	3061
136	488	3074
137	490	3062
138	492	3049
139	494	3035
140	496	3024
141	498	3011
142	503	3015
143	504	3001
144	542	3199
145	544	3184
146	547	3176
147	555	3197
148	557	3183
149	559	3168
150	562	3164
151	568	3170
152	570	3157
153	572	3142
154	575	3135
155	576	3118
156	577	3101
157	582	3105
158	584	3093
159	586	3080
160	587	3063
161	590	3055
162	591	3039
163	593	3023
164	598	3031
165	601	3019
166	602	3006
167	605	2999
168	607	2985
169	608	2971
170	614	2979
171	616	2968
172	618	2956
173	621	2952
174	623	2941
175	629	2947
176	631	2934
177	632	2922
178	634	2909
179	635	2896
180	637	2885
181	639	2872
182	643	2870
183	644	2858
184	645	2845
185	647	2831
186	648	2819
187	649	2806
188	651	2793
189	652	2781
190	653	2768
191	658	2769
192	659	2757
193	660	2745
194	662	2733
195	663	2721
196	664	2709
197	666	2698
198	667	2686
199	668	2674
200	673	2677
201	674	2666
202	676	2654
203	677	2643
204	678	2632
205	680	2621
206	681	2610
207	682	2599
208	684	2589
209	688	2591
210	690	2580
211	691	2570
212	692	2559
213	694	2549
214	695	2538
215	696	2528
216	698	2518
217	703	2523
218	704	2513
219	706	2503
220	707	2493
221	708	2483
222	709	2473
223	711	2464
224	712	2454
225	714	2446
226	719	2448
227	721	2442
228	723	2434
229	725	2427
230	727	2420
231	728	2411
232	733	2415
233	735	2406
234	736	2396
235	737	2387
236	738	2378
237	740	2369
238	741	2360
239	742	2351
240	743	2342
241	748	2344
242	749	2336
243	751	2327
244	752	2318
245	753	2310
246	754	2301
247	756	2293
248	758	2287
249	759	2278
250	765	2283
251	767	2278
252	771	2276
253	782	2298
254	784	2291
255	785	2283
256	787	2275
257	788	2267
258	789	2259
259	791	2251
260	794	2249
261	795	2241
262	797	2233
263	798	2225
264	799	2218
265	801	2210
266	802	2202
267	807	2204
268	809	2199
269	811	2193
270	813	2188
271	814	2181
272	816	2173
273	817	2166
274	819	2160
275	820	2152
276	821	2145
277	823	2137
278	824	2130
279	826	2124
280	827	2118
281	835	2127
282	841	2132
283	844	2129
284	877	2201
285	893	2231
286	913	2269
287	927	2293
288	946	2327
289	1055	2583
290	1092	2661
291	1099	2666
292	1105	2667
293	1107	2660
294	1110	2654
295	1118	2660
296	1122	2657
297	1125	2651
298	1127	2644
299	1131	2639
300	1134	2633
301	1169	2702
302	1181	2717
303	1183	2710
304	1186	2702
305	1192	2704
306	1200	2710
307	1207	2712
308	1209	2705
309	1211	2697
310	1214	2691
311	1216	2683
312	1239	2721
313	1242	2714
314	1244	2706
315	1246	2699
316	1255	2705
317	1258	2699
318	1261	2692
319	1263	2684
320	1269	2685
321	1271	2677
322	1274	2670
323	1276	2663
324	1278	2655
325	1288	2663
326	1291	2658
327	1293	2650
328	1298	2649
329	1301	2641
330	1303	2634
331	1305	2627
332	1308	2620
333	1310	2612
334	1313	2606
335	1315	2600
336	1319	2595
337	1336	2616
338	1338	2609
